Company Name,Physical Address,Phone,FAX,Web,Business Description,NAICS,Employee(s),Annual Sales,Contact Person,Industry Description,Stock Exchange,Latitude,Longitude
ExpressEmploymentPro,"1366USHighway321NWHickory,NC28601-2200",8283451445,8283456155,EXPRESSPROS.COM,EmploymentAgencies&Opportunities,561311,5,"$408,000",BrandyEby,EmploymentPlacementAgencies,,35.752716,-81.370459
CentralPiedmontCommunityClg,"1141ElizabethAveCharlotte,NC28204-2226",7043302722,,CPCC.EDU,Junior-CommunityCollege-TechInstitutes,611210,149,,AugustineMartinez,JuniorColleges,,35.218056,-80.831367
Lost&Found,"332WBlandSt#ECharlotte,NC28203-4106",9802727483,,LOSTANDFOUNDCLT.COM,BarCodeScanningEquip&Supls(whls),423420,2,"$2,445,000",,OfficeEquipmentMerchantWholesalers,,35.220073,-80.857908
ShearPerfectionSalon-Tanning,"117WestoverDrBurnsville,NC28714-3229",8286789221,,SHEARPERFECTIONNC.WIXSITE.COM,BeautySalons,812112,5,"$98,000",DawnHopson,BeautySalons,,35.913698,-82.305839
CarolinasPalliativeCare,"433McalisterRd#1Lincolnton,NC28092-4147",7045125363,7044464161,ATRIUMHEALTH.ORG,Hospices,623110,6,"$460,000",ThomasLaymon,NursingCareFacilities(SkilledNursingFacilities),,35.489846,-81.203642
KeeverCoInc,"140ParadiseCoveRdPenrose,NC28766-0140",8280001111,,,RealEstate,531210,2,"$198,000",PatrickCKeever,OfficesofRealEstateAgentsandBrokers,,35.229434,-82.611745
"HowardBruceS,DDS","2202SSterlingStMorganton,NC28655-",8284331400,8284331400,,Dentists,621210,1,"$156,000",BruceSHoward,OfficesofDentists,,35.763003,-81.779905
DealersAuctionsInc,"743CrosspointDrDenver,NC28037-7826",7044898422,,DLRAUCTIONS.COM,AutomobileAuctions(whls),423110,15,"$52,203,000",VincentAMaffucci,AutomobileandOtherMotorVehicleMerchantWholesalers,,35.460233,-80.998458
CenterForJudaicHolocaust,"224JoyceLawrenceLn#104Boone,NC28608-0001",8282622311,,HOLOCAUST.APPSTATE.EDU,University-CollegeDept/Facility/Office,611310,2,,,"Colleges,Universities,andProfessionalSchools",,36.214302,-81.680492
FoscoeGrandfatherCmntyCtr,"233ParkRdBannerElk,NC28604-9386",8289637272,,,Parks,712190,9,"$694,000",DeniseStall,NatureParksandOtherSimilarInstitutions,,36.143413,-81.795772
EP&AssocRoofing,"406JeffersonRdForestCity,NC28043-",8282230201,,,RoofingContractors,238160,2,"$185,000",ErniePennington,RoofingContractors,,35.328425,-81.86568
NBSTechnologyInc,"12523RidgeStoneCtPineville,NC28134-6403",7042962894,,PROTECHLLC.COM,Computer&PeripheralEqpt&Software(whls),423430,5,"$7,876,000",PhanNueman,ComputerandComputerPeripheralEquipmentandSoftwareMerchantWholesalers,,35.043313,-80.871493
Bill'sCustomRemodeling,"BlackMountain,NC28711-",8287135415,,,HomeImprovements,236118,2,"$586,000",,ResidentialRemodelers,,35.591655,-82.315374
EtheridgeDavidK,"9EMainStBurnsville,NC28714-2947",8286826112,,ETHERIDGELAWFIRM.COM,Attorneys,541110,1,"$125,000",DavidKEtheridge,OfficesofLawyers,,35.917444,-82.297748
"OatesBetty,AGT","1457thAveWHendersonville,NC28792-3611",8286938471,8286931886,ERA.COM,RealEstate,531210,1,"$91,000",BettyOates,OfficesofRealEstateAgentsandBrokers,,35.31955,-82.46187
AssemblyArchitecture+Build,"14OhenryAve#306FAsheville,NC28801-2793",8282423738,,ASSEMBLYAB.COM,GeneralContractors-ResidentialBldgs,236118,3,"$878,000",RossSmith,ResidentialRemodelers,,35.5954,-82.557282
BlueMoonStainedGlass,"354STradeStTryon,NC28782-3747",8288595340,,BLUEMOONSTAINEDGLASS.COM,Glass-Stained&Leaded,444180,2,"$433,000",JohnFisher,OtherBuildingMaterialDealers,,35.203804,-82.238318
